"bank","case","seed","model","macro","optimize","rmse","mae","mape","mse","path"
"BBNI","informer_macro","52","informer","True","False","247.675427096634","167.881271362305","3.23421096801758","61343.1171875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_macro\seed_52\BBNI\summary_transformer.json"
"BBNI","informer_macro","62","informer","True","False","208.182180583498","150.531448364258","2.95368099212646","43339.8203125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_macro\seed_62\BBNI\summary_transformer.json"
"BBNI","informer_macro","72","informer","True","False","204.659282406149","162.355911254883","3.22350978851318","41885.421875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_macro\seed_72\BBNI\summary_transformer.json"
"BBNI","informer_macro","82","informer","True","False","178.40767592266","135.051956176758","2.78262090682983","31829.298828125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_macro\seed_82\BBNI\summary_transformer.json"
"BBNI","informer_macro_random","42","informer","True","True","210.663915173553","148.272979736328","2.92457723617554","44379.28515625","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_macro_random\seed_42\BBNI\summary_transformer.json"
"BBNI","informer_macro_random","52","informer","True","True","383.101549037589","257.972930908203","4.93234825134277","146766.796875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_macro_random\seed_52\BBNI\summary_transformer.json"
"BBNI","informer_macro_random","62","informer","True","True","454.565108097839","358.615570068359","7.03449821472168","206629.4375","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_macro_random\seed_62\BBNI\summary_transformer.json"
"BBNI","informer_macro_random","72","informer","True","True","341.147821241027","241.934707641602","4.65452718734741","116381.8359375","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_macro_random\seed_72\BBNI\summary_transformer.json"
"BBNI","informer_macro_random","82","informer","True","True","305.886352976886","255.203811645508","5.05133771896362","93566.4609375","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBNI\informer_macro_random\seed_82\BBNI\summary_transformer.json"
"BBRI","autoformer_data","42","autoformer","False","False","716.429711311584","606.600158691406","11.6533517837524","513271.53125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_data\seed_42\BBRI\summary_transformer.json"
"BBRI","autoformer_data","52","autoformer","False","False","381.018249234863","283.002685546875","5.9044713973999","145174.90625","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_data\seed_52\BBRI\summary_transformer.json"
"BBRI","autoformer_data","62","autoformer","False","False","442.270473664024","352.735931396484","7.40207815170288","195603.171875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_data\seed_62\BBRI\summary_transformer.json"
"BBRI","autoformer_data","72","autoformer","False","False","352.362384485064","271.702301025391","5.55870199203491","124159.25","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_data\seed_72\BBRI\summary_transformer.json"
"BBRI","autoformer_data","82","autoformer","False","False","393.921867252886","286.473571777344","5.99676084518433","155174.4375","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_data\seed_82\BBRI\summary_transformer.json"
"BBRI","autoformer_data_random","42","autoformer","False","True","343.063120558739","255.343536376953","5.27093887329102","117692.3046875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_data_random\seed_42\BBRI\summary_transformer.json"
"BBRI","autoformer_data_random","52","autoformer","False","True","541.056229748813","448.710998535156","8.65748596191406","292741.84375","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_data_random\seed_52\BBRI\summary_transformer.json"
"BBRI","autoformer_data_random","62","autoformer","False","True","477.916653952339","383.378204345703","7.97828054428101","228404.328125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_data_random\seed_62\BBRI\summary_transformer.json"
"BBRI","autoformer_data_random","72","autoformer","False","True","423.444838497295","351.717254638672","7.26337051391602","179305.53125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_data_random\seed_72\BBRI\summary_transformer.json"
"BBRI","autoformer_data_random","82","autoformer","False","True","421.276686840134","313.269256591797","6.62289476394653","177474.046875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_data_random\seed_82\BBRI\summary_transformer.json"
"BBRI","autoformer_macro","42","autoformer","True","False","522.830786440508","372.760955810547","7.94667768478394","273352.03125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_macro\seed_42\BBRI\summary_transformer.json"
"BBRI","autoformer_macro","52","autoformer","True","False","740.109746929467","654.447326660156","13.8720140457153","547762.4375","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_macro\seed_52\BBRI\summary_transformer.json"
"BBRI","autoformer_macro","62","autoformer","True","False","651.676515803662","521.699584960938","9.89596939086914","424682.28125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_macro\seed_62\BBRI\summary_transformer.json"
"BBRI","autoformer_macro","72","autoformer","True","False","433.698051644229","334.434936523438","6.98849582672119","188094","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_macro\seed_72\BBRI\summary_transformer.json"
"BBRI","autoformer_macro","82","autoformer","True","False","529.880617450761","418.863342285156","8.95393085479736","280773.46875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_macro\seed_82\BBRI\summary_transformer.json"
