trial,val_mae,params
37,295.3789978027344,"{""n_estimators"": 312, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 4.0, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0, ""gamma"": 0.0}"
38,501.0604553222656,"{""n_estimators"": 1323, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 4.0, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""gamma"": 0.2}"
39,440.5054626464844,"{""n_estimators"": 622, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 4.0, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""gamma"": 0.1}"
40,443.02978515625,"{""n_estimators"": 1867, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 6.0, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""gamma"": 0.2}"
41,449.6581115722656,"{""n_estimators"": 1222, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 1.0, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""gamma"": 0.2}"
42,443.5243225097656,"{""n_estimators"": 1069, ""learning_rate"": 0.08, ""max_depth"": 8, ""min_child_weight"": 6.0, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0, ""gamma"": 0.2}"
43,334.5408630371094,"{""n_estimators"": 1193, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 8.0, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
44,397.8710632324219,"{""n_estimators"": 1534, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 4.0, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
45,439.2174377441406,"{""n_estimators"": 563, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 8.0, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""gamma"": 0.2}"
46,455.2784423828125,"{""n_estimators"": 461, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1.0, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""gamma"": 0.0}"
47,321.90960693359375,"{""n_estimators"": 1957, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 6.0, ""subsample"": 0.7, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""gamma"": 0.0}"
48,480.682373046875,"{""n_estimators"": 740, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1.0, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""gamma"": 0.2}"
49,327.28985595703125,"{""n_estimators"": 569, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 8.0, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""gamma"": 0.0}"
50,430.41949462890625,"{""n_estimators"": 1793, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 4.0, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""gamma"": 0.0}"
