bank,case,seed,model_type,use_macro,optimize,rmse,mae,mape,mse,summary_path,test_predictions_path
BBCA,lstm_macro_ga,72,lstm,True,True,2642.557000331308,2486.538330078125,26.730167388916016,6983107.5,results_study_full\BBCA\lstm_macro_ga\seed_72\BBCA\summary_pytorch.json,results_study_full\BBCA\lstm_macro_ga\seed_72\BBCA\test_predictions_pytorch.csv
BBCA,lstm_macro_ga,82,lstm,True,True,2860.786517725501,2746.568359375,29.740264892578125,8184099.5,results_study_full\BBCA\lstm_macro_ga\seed_82\BBCA\summary_pytorch.json,results_study_full\BBCA\lstm_macro_ga\seed_82\BBCA\test_predictions_pytorch.csv
BBCA,bilstm_data_ga,42,bilstm,False,True,2056.668787140992,1915.552490234375,20.537841796875,4229886.5,results_study_full\BBCA\bilstm_data_ga\seed_42\BBCA\summary_pytorch.json,results_study_full\BBCA\bilstm_data_ga\seed_42\BBCA\test_predictions_pytorch.csv
BBCA,bilstm_data_ga,52,bilstm,False,True,2263.1316797747318,2110.1630859375,22.622970581054688,5121765.0,results_study_full\BBCA\bilstm_data_ga\seed_52\BBCA\summary_pytorch.json,results_study_full\BBCA\bilstm_data_ga\seed_52\BBCA\test_predictions_pytorch.csv
BBCA,bilstm_data_ga,62,bilstm,False,True,2138.669679964627,1972.58740234375,21.081239700317383,4573908.0,results_study_full\BBCA\bilstm_data_ga\seed_62\BBCA\summary_pytorch.json,results_study_full\BBCA\bilstm_data_ga\seed_62\BBCA\test_predictions_pytorch.csv
BBCA,bilstm_data_ga,72,bilstm,False,True,1197.662723808335,1078.3302001953125,11.459188461303711,1434396.0,results_study_full\BBCA\bilstm_data_ga\seed_72\BBCA\summary_pytorch.json,results_study_full\BBCA\bilstm_data_ga\seed_72\BBCA\test_predictions_pytorch.csv
BBCA,bilstm_data_ga,82,bilstm,False,True,1818.223927353284,1686.715576171875,18.066007614135742,3305938.25,results_study_full\BBCA\bilstm_data_ga\seed_82\BBCA\summary_pytorch.json,results_study_full\BBCA\bilstm_data_ga\seed_82\BBCA\test_predictions_pytorch.csv
BBCA,bilstm_macro_ga,42,bilstm,True,True,2241.5649667141033,2116.612060546875,22.791139602661133,5024613.5,results_study_full\BBCA\bilstm_macro_ga\seed_42\BBCA\summary_pytorch.json,results_study_full\BBCA\bilstm_macro_ga\seed_42\BBCA\test_predictions_pytorch.csv
BBCA,bilstm_macro_ga,52,bilstm,True,True,2734.2441368685422,2610.883056640625,28.21318817138672,7476091.0,results_study_full\BBCA\bilstm_macro_ga\seed_52\BBCA\summary_pytorch.json,results_study_full\BBCA\bilstm_macro_ga\seed_52\BBCA\test_predictions_pytorch.csv
BBCA,bilstm_macro_ga,62,bilstm,True,True,2553.88028302033,2425.773193359375,26.173479080200195,6522304.5,results_study_full\BBCA\bilstm_macro_ga\seed_62\BBCA\summary_pytorch.json,results_study_full\BBCA\bilstm_macro_ga\seed_62\BBCA\test_predictions_pytorch.csv
