bank,case,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,n_runs,model_type,use_macro,optimize
BMRI,bilstm_data_ga,1431.1545514796978,132.1155970114082,1208.644384765625,111.4666492057058,19.80022735595703,1.8162143219014892,5,bilstm,False,True
BMRI,bilstm_macro,1466.6989160553615,88.56716831046623,1226.944287109375,79.74621760408013,20.056027984619142,1.33745347023616,5,bilstm,True,False
BMRI,lstm_macro,1535.9266880159125,48.610171781092816,1296.6173095703125,54.307882394640586,21.252251052856444,0.9780908494007252,5,lstm,True,False
BMRI,bilstm_data,1541.4889842916461,84.73828316874226,1312.189794921875,80.76063180971111,21.574972915649415,1.404167007005043,5,bilstm,False,False
BMRI,lstm_data,1563.4411603390458,142.0657337190193,1323.534619140625,143.22459679188776,21.702852630615233,2.487931089484718,5,lstm,False,False
BMRI,lstm_data_ga,1719.1573778268717,278.69385143790385,1481.155224609375,289.95040204908827,24.468527603149415,5.1516132370171,5,lstm,False,True
BMRI,lstm_macro_ga,1732.2567809760162,117.07793751711483,1489.1580322265625,117.9122866588513,24.560597229003907,2.0652090891427233,5,lstm,True,True
BNGA,bilstm_data,244.1445729008673,28.12229552114985,192.77312622070312,21.089072316561115,11.226184463500976,1.3009612482766197,5,bilstm,False,False
BNGA,lstm_data,256.75176284188444,18.51670791423003,197.1392791748047,14.802601648448453,11.29288272857666,0.9058083432031399,5,lstm,False,False
BNGA,bilstm_macro_ga,258.69204311931543,50.320082292066196,203.3371795654297,42.20281037561959,11.744149208068848,2.460187693009067,5,bilstm,True,True
BNGA,bilstm_macro,281.8631807710538,26.363715313956252,220.6125732421875,30.754247546336078,12.743218231201173,2.0473076670891217,5,bilstm,True,False
BNGA,lstm_macro,290.77663917941345,27.50646262188187,232.27664489746093,25.415037336909183,13.53000373840332,1.5933493769622593,5,lstm,True,False
BNGA,bilstm_data_ga,294.65431838909416,122.63197131513212,227.6697738647461,100.99465722423557,13.03628454208374,5.8785186482819345,5,bilstm,False,True
BNGA,lstm_data_ga,309.86386918639954,74.8924730057523,244.19308471679688,65.36911296079181,14.140078735351562,3.957371113156866,5,lstm,False,True
BNGA,lstm_macro_ga,314.47941391236554,70.07851155431896,258.3950592041016,64.4074886598523,15.29899196624756,4.057250127590217,5,lstm,True,True
