"bank","case","runs","rmse_mean","mae_mean","mape_mean","mse_mean"
"BBNI","cnn_lstm_data_ga","5","400.788419687659","293.94697265625","5.68277168273926","168233.64375"
"BBNI","bilstm_attention_data","5","403.387656060415","300.385452270508","5.84405899047852","165666.1375"
"BBNI","bilstm_attention_data_ga","5","406.504843687643","302.921514892578","5.90368375778198","172414.0265625"
"BBNI","cnn_bilstm_macro_ga","5","407.591062762775","301.208831787109","5.8482292175293","167277.9984375"
"BBNI","cnn_bilstm_macro","5","410.030669696508","317.291094970703","6.19880828857422","172262.4796875"
"BBNI","cnn_lstm_macro_ga","5","414.525646240937","321.711322021484","6.29008989334106","172829.9625"
"BBNI","cnn_lstm_macro","5","416.275370925507","316.242230224609","6.16298532485962","175886.0625"
"BBNI","lstm_attention_data","5","495.632468862141","401.046716308594","7.9595778465271","250069.175"
"BBNI","bilstm_post_norm_data_ga","5","498.09512271687","380.594665527344","7.4038516998291","252158.1"
"BBNI","lstm_post_norm_data","5","505.175162608627","386.536431884766","7.51048631668091","255630.125"
"BBNI","bilstm_post_norm_data","5","520.675174934827","395.927221679687","7.68663215637207","272739.715625"
"BBNI","bilstm_post_norm_macro","5","558.175976043616","433.151385498047","8.46902866363525","312483.5375"
"BBNI","lstm_post_norm_data_ga","5","562.758916719397","433.466619873047","8.44650411605835","320141.434375"
"BBNI","lstm_attention_data_ga","5","589.495331092132","492.269061279297","9.79194431304932","378846.378125"
"BBNI","lstm_post_norm_macro","5","593.11048008944","468.290661621094","9.18402538299561","352166.125"
"BBNI","lstm_post_norm_macro_ga","5","627.673879241354","501.884716796875","9.84216270446777","397467.61875"
"BBNI","bilstm_post_norm_macro_ga","5","650.513978585389","522.550872802734","10.2567579269409","427490.64375"
"BBNI","bilstm_attention_macro","5","664.253400400698","546.237115478516","10.7873733520508","444671.125"
"BBNI","lstm_attention_macro_ga","5","718.12584318898","606.985034179688","12.0191410064697","517531.99375"
