"bank","case","seed","model_type","use_macro","optimize","rmse","mae","mape","mse","summary_path","test_predictions_path"
"BBCA","bilstm_pre_norm_macro","42","bilstm_pre_norm","True","False","3117.06849459552","3027.0048828125","32.9663124084473","9716116","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro\seed_42\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro\seed_42\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_macro","52","bilstm_pre_norm","True","False","3468.76173871888","3364.673828125","36.6021957397461","12032308","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro\seed_52\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro\seed_52\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_macro","62","bilstm_pre_norm","True","False","3317.7163832974","3223.55322265625","35.1501808166504","11007242","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro\seed_62\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro\seed_62\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_macro","72","bilstm_pre_norm","True","False","3597.56278610951","3511.2685546875","38.3889923095703","12942458","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro\seed_72\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro\seed_72\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_macro","82","bilstm_pre_norm","True","False","3299.80908538661","3198.419921875","34.8514251708984","10888740","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro\seed_82\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro\seed_82\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_macro_ga","42","bilstm_pre_norm","True","True","3135.08580424843","3062.68701171875","33.4570770263672","9828763","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro_ga\seed_42\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro_ga\seed_42\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_macro_ga","52","bilstm_pre_norm","True","True","3333.82408054174","3250.216796875","35.4981346130371","11114383","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro_ga\seed_52\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro_ga\seed_52\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_macro_ga","62","bilstm_pre_norm","True","True","3429.05322210082","3334.79541015625","36.3673782348633","11758406","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro_ga\seed_62\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro_ga\seed_62\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_macro_ga","72","bilstm_pre_norm","True","True","3137.25006972667","3049.6982421875","33.2850799560547","9842338","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro_ga\seed_72\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro_ga\seed_72\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_norm_macro_ga","82","bilstm_pre_norm","True","True","3885.02342335281","3768.83032226563","41.1084022521973","15093407","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro_ga\seed_82\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_norm_macro_ga\seed_82\BBCA\test_predictions_pytorch.csv"
"BBCA","bilstm_pre_post_norm_data","42","bilstm_pre_post_norm","False","False","4426.10980433156","4266.68115234375","46.3489761352539","19590448","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_post_norm_data\seed_42\BBCA\summary_pytorch.json","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_recurrent_variants_study\BBCA\bilstm_pre_post_norm_data\seed_42\BBCA\test_predictions_pytorch.csv"
