feature,importance,model
t51_ihsg_return_1d,0.00017026841,xgb
t41_Price Change 1 Day Percent,0.00016980963,xgb
t20_bi_rate,0.0001670468,xgb
t00_Ask Price,0.00016687268,xgb
t00_ihsg_close,0.00016380592,xgb
t45_Price to Book Ratio,0.00016301601,xgb
t18_ihsg_return_1d,0.00016284922,xgb
t15_Price to Sales Ratio,0.00016237004,xgb
t40_Bid Price,0.00016140599,xgb
t37_ihsg_return_1d,0.00016090789,xgb
t38_ihsg_close,0.00015945984,xgb
t17_ihsg_return_1d,0.00015813061,xgb
t06_Dividend Indicated Yld - Gross,0.00015654016,xgb
t58_Price Change 1 Day Percent,0.00015587323,xgb
t06_ihsg_close,0.00015575836,xgb
t44_ihsg_return_1d,0.00015522251,xgb
t41_ihsg_close,0.00015498357,xgb
t05_ihsg_return_1d,0.00015494398,xgb
t35_ihsg_return_1d,0.00015329375,xgb
t54_Price Earnings Ratio,0.00015255244,xgb
t57_Low Price,0.00015208258,xgb
t36_ihsg_return_1d,0.00015027482,xgb
t24_Price Change 1 Day Percent,0.00015019857,xgb
t19_Price Change 1 Day Percent,0.00014998419,xgb
t59_Moving Average 20 Day,0.00014928127,xgb
t37_Price Earnings Ratio,0.00014869546,xgb
t04_ihsg_close,0.000148458,xgb
t06_Price Change 1 Day Percent,0.00014768429,xgb
t43_Price to Sales Ratio,0.00014427205,xgb
t42_High Price,0.00014365162,xgb
t28_ihsg_return_1d,0.00014348824,xgb
t07_ihsg_close,0.00014339949,xgb
t40_Price to Book Ratio,0.0001419845,xgb
t54_Price Change 1 Day Percent,0.00014196018,xgb
t31_Price to Sales Ratio,0.000141668,xgb
t57_ihsg_return_1d,0.0001410455,xgb
t35_Price to Sales Ratio,0.0001397981,xgb
t20_Price Earnings Ratio,0.00013963215,xgb
t37_ihsg_close,0.00013953484,xgb
t42_Price Change 1 Day Percent,0.00013934691,xgb
t11_Price to Book Ratio,0.00013934584,xgb
t16_Price Change 1 Day Percent,0.00013878352,xgb
t24_ihsg_return_1d,0.00013717766,xgb
t10_Price to Book Ratio,0.00013715455,xgb
t43_Ask Price,0.00013703786,xgb
t53_High Price,0.00013689268,xgb
t29_Price to Sales Ratio,0.00013649584,xgb
t13_Price Earnings Ratio,0.00013556988,xgb
t27_Price Change 1 Day Percent,0.00013496219,xgb
t03_ihsg_close,0.00013465482,xgb
t04_Moving Average 20 Day,0.00013416004,xgb
t52_ihsg_close,0.00013253959,xgb
t03_Price Change 1 Day Percent,0.000132118,xgb
t23_Price to Book Ratio,0.0001319453,xgb
t04_Price Change 1 Day Percent,0.00013171286,xgb
t13_ihsg_return_1d,0.00012904502,xgb
t26_Price Change 1 Day Percent,0.00012869315,xgb
t41_Dividend Indicated Yld - Gross,0.00012860526,xgb
t31_Price Earnings Ratio,0.00012751136,xgb
t09_Price to Book Ratio,0.00012737887,xgb
t05_High Price,0.00012503935,xgb
t07_Low Price,0.00012447895,xgb
t14_Price Change 1 Day Percent,0.000121340636,xgb
t05_Ask Price,0.00011991911,xgb
t14_ihsg_return_1d,0.00011961472,xgb
t43_Price Change 1 Day Percent,0.00011929937,xgb
t08_Ask Price,0.000118704666,xgb
t50_ihsg_close,0.00011818703,xgb
t09_Low Price,0.00011811967,xgb
t30_Price Change 1 Day Percent,0.00011758099,xgb
t48_Price Change 1 Day Percent,0.00011749531,xgb
t05_Price to Book Ratio,0.00011730377,xgb
t08_ihsg_close,0.00011698789,xgb
t46_Price Earnings Ratio,0.00011627441,xgb
t03_Bid Price,0.00011522472,xgb
t46_Price Change 1 Day Percent,0.00011500167,xgb
t02_cpi_index,0.000114623086,xgb
t34_Price Change 1 Day Percent,0.00011430396,xgb
t56_ihsg_return_1d,0.00011404157,xgb
t36_Low Price,0.000113981536,xgb
t38_Price Change 1 Day Percent,0.0001136009,xgb
t38_bi_rate,0.00011352887,xgb
t11_Ask Price,0.00011322813,xgb
t11_ihsg_close,0.000112837195,xgb
t44_Price Change 1 Day Percent,0.000112186484,xgb
t14_Dividend Indicated Yld - Gross,0.000110832785,xgb
t22_Price Change 1 Day Percent,0.00011023242,xgb
t46_ihsg_return_1d,0.000109400324,xgb
t46_Ask Price,0.00010889587,xgb
t53_Price to Sales Ratio,0.00010802658,xgb
t55_ihsg_return_1d,0.00010770877,xgb
t48_Dividend Indicated Yld - Gross,0.000107210064,xgb
t14_cpi_index,0.000107185355,xgb
t44_ihsg_close,0.00010690885,xgb
t25_Price Change 1 Day Percent,0.0001062116,xgb
t21_ihsg_close,0.00010524709,xgb
t04_ihsg_return_1d,0.00010427106,xgb
t33_Price to Book Ratio,0.00010424877,xgb
t07_Price Change 1 Day Percent,0.00010397508,xgb
t32_Price Change 1 Day Percent,0.000103906204,xgb
t36_Price Change 1 Day Percent,0.000103775616,xgb
t30_High Price,0.00010214685,xgb
t03_Price Earnings Ratio,0.00010171717,xgb
t47_ihsg_return_1d,0.00010159506,xgb
t41_Moving Average 20 Day,0.000101079655,xgb
t15_Price to Book Ratio,0.000100940466,xgb
t45_Price Change 1 Day Percent,0.00010052112,xgb
t43_ihsg_return_1d,0.000100225014,xgb
t45_ihsg_return_1d,9.9936224e-05,xgb
t37_Price to Book Ratio,9.951749e-05,xgb
t08_Price Change 1 Day Percent,9.8787e-05,xgb
t33_Price Change 1 Day Percent,9.8628814e-05,xgb
t38_Price Earnings Ratio,9.839336e-05,xgb
t05_cpi_index,9.788559e-05,xgb
t01_Dividend Indicated Yld - Gross,9.679548e-05,xgb
t50_Price Change 1 Day Percent,9.669525e-05,xgb
t04_Price Earnings Ratio,9.627666e-05,xgb
t15_Price Change 1 Day Percent,9.577617e-05,xgb
t21_ihsg_return_1d,9.554708e-05,xgb
t49_ihsg_return_1d,9.529236e-05,xgb
t01_bi_rate,9.486482e-05,xgb
t00_bi_rate,9.3823786e-05,xgb
t19_ihsg_return_1d,9.294959e-05,xgb
t51_Price Change 1 Day Percent,9.148214e-05,xgb
t18_Price Change 1 Day Percent,9.0277295e-05,xgb
t22_Price to Sales Ratio,8.946906e-05,xgb
t22_ihsg_return_1d,8.902496e-05,xgb
t01_Price Change 1 Day Percent,8.861812e-05,xgb
t08_ihsg_return_1d,8.792649e-05,xgb
t24_Price to Book Ratio,8.753104e-05,xgb
t07_Moving Average 20 Day,8.711592e-05,xgb
t29_Price Change 1 Day Percent,8.5876665e-05,xgb
t11_ihsg_return_1d,8.557247e-05,xgb
t12_High Price,8.510291e-05,xgb
t55_High Price,8.499873e-05,xgb
t20_Price to Book Ratio,8.359083e-05,xgb
t17_ihsg_close,8.309669e-05,xgb
t26_ihsg_return_1d,8.277957e-05,xgb
t52_ihsg_return_1d,8.2694234e-05,xgb
t25_ihsg_close,8.236288e-05,xgb
t42_bi_rate,8.1436716e-05,xgb
t33_ihsg_return_1d,7.9804355e-05,xgb
t40_ihsg_return_1d,7.9670324e-05,xgb
t36_Price Earnings Ratio,7.963819e-05,xgb
t23_ihsg_return_1d,7.952418e-05,xgb
t42_Low Price,7.899088e-05,xgb
t34_Price to Book Ratio,7.8933124e-05,xgb
t01_ihsg_return_1d,7.852083e-05,xgb
t39_Price Change 1 Day Percent,7.807937e-05,xgb
t58_ihsg_return_1d,7.768512e-05,xgb
