feature,importance,model
t02_High Price,5.051309614029848e-05,lgbm
t26_Price to Sales Ratio,4.994267810573763e-05,lgbm
t08_ihsg_return_1d,4.985566494383902e-05,lgbm
t24_Price to Book Ratio,4.972911281743543e-05,lgbm
t19_Dividend Indicated Yld - Gross,4.953341310447898e-05,lgbm
t56_Low Price,4.941163070640252e-05,lgbm
t30_High Price,4.9035039959904676e-05,lgbm
t00_High Price,4.881087397393122e-05,lgbm
t36_ihsg_close,4.8586564839754544e-05,lgbm
t32_Price Change 1 Day Percent,4.7716087193199785e-05,lgbm
t41_Price Change 1 Day Percent,4.730641717491735e-05,lgbm
t40_bi_rate,4.7195865064608255e-05,lgbm
t09_Price Change 1 Day Percent,4.712436312231038e-05,lgbm
t26_Moving Average 20 Day,4.69409628365139e-05,lgbm
t53_High Price,4.667433188015932e-05,lgbm
t46_Low Price,4.655735293121602e-05,lgbm
t50_High Price,4.637292164278522e-05,lgbm
t33_ihsg_return_1d,4.5943911171491215e-05,lgbm
t12_Low Price,4.567627618332229e-05,lgbm
t16_ihsg_return_1d,4.561909017472179e-05,lgbm
t23_ihsg_close,4.550235967091775e-05,lgbm
t51_Bid Price,4.538029914282368e-05,lgbm
t52_Price Earnings Ratio,4.5193010087813105e-05,lgbm
t12_Dividend Indicated Yld - Gross,4.517719857512582e-05,lgbm
t14_Bid Price,4.48979692692919e-05,lgbm
t22_Ask Price,4.483283573331985e-05,lgbm
t41_Moving Average 20 Day,4.4479736930590104e-05,lgbm
t09_cpi_index,4.396853209030254e-05,lgbm
t38_Price Change 1 Day Percent,4.388545156201431e-05,lgbm
t24_ihsg_close,4.296289900442767e-05,lgbm
t11_Price Earnings Ratio,4.26193320558932e-05,lgbm
t25_Dividend Indicated Yld - Gross,4.197481079783052e-05,lgbm
t37_ihsg_return_1d,4.18200655215355e-05,lgbm
t57_Price Change 1 Day Percent,4.1368151164636135e-05,lgbm
t51_ihsg_return_1d,4.1229858130901646e-05,lgbm
t24_Price Change 1 Day Percent,4.106506635879396e-05,lgbm
t26_Price to Book Ratio,4.0572640811028776e-05,lgbm
t19_Price Change 1 Day Percent,4.0250192056605214e-05,lgbm
t22_ihsg_return_1d,4.015125718214895e-05,lgbm
t08_Ask Price,4.009482423741442e-05,lgbm
t01_ihsg_return_1d,4.008153277563209e-05,lgbm
t47_Price Earnings Ratio,3.9779659322191224e-05,lgbm
t21_ihsg_return_1d,3.963224761367172e-05,lgbm
t02_Bid Price,3.903561386674078e-05,lgbm
t53_Price Earnings Ratio,3.8813361014049956e-05,lgbm
t15_Price to Book Ratio,3.843501538485966e-05,lgbm
t33_Price Change 1 Day Percent,3.775595766244057e-05,lgbm
t57_ihsg_return_1d,3.773210171578e-05,lgbm
t13_Low Price,3.772792789755639e-05,lgbm
t49_Dividend Indicated Yld - Gross,3.708588978428149e-05,lgbm
t01_Price Earnings Ratio,3.7018489909310335e-05,lgbm
t50_ihsg_return_1d,3.597048710572662e-05,lgbm
t17_ihsg_return_1d,3.55936105264452e-05,lgbm
t58_ihsg_return_1d,3.5101526373763446e-05,lgbm
t54_Bid Price,3.508800503826368e-05,lgbm
t23_Price Change 1 Day Percent,3.4892643284018146e-05,lgbm
t19_ihsg_return_1d,3.4882149477513825e-05,lgbm
t58_Price to Book Ratio,3.4621912023112786e-05,lgbm
t39_ihsg_return_1d,3.442217569674292e-05,lgbm
t10_Dividend Indicated Yld - Gross,3.429249004129714e-05,lgbm
t38_ihsg_return_1d,3.404517292971036e-05,lgbm
t27_ihsg_return_1d,3.388884823628203e-05,lgbm
t47_Price Change 1 Day Percent,3.3879870133312834e-05,lgbm
t11_ihsg_return_1d,3.371082087395905e-05,lgbm
t25_Price Change 1 Day Percent,3.361795588049254e-05,lgbm
t11_Ask Price,3.350739476869918e-05,lgbm
t29_ihsg_return_1d,3.342705787767579e-05,lgbm
t07_Price Change 1 Day Percent,3.3313591254287274e-05,lgbm
t45_ihsg_close,3.330992265461638e-05,lgbm
t34_ihsg_return_1d,3.3138536854275275e-05,lgbm
t10_Price to Book Ratio,3.310008180099681e-05,lgbm
t45_Price Change 1 Day Percent,3.2905590088761665e-05,lgbm
t01_Price Change 1 Day Percent,3.2890841638077386e-05,lgbm
t19_Price to Sales Ratio,3.265177283789765e-05,lgbm
t26_Price Change 1 Day Percent,3.261985141343369e-05,lgbm
t37_Low Price,3.2020360353921157e-05,lgbm
t15_ihsg_close,3.1992196952210794e-05,lgbm
t16_Price Change 1 Day Percent,3.1945796242967136e-05,lgbm
t44_Price to Book Ratio,3.186168750812944e-05,lgbm
t25_Price Earnings Ratio,3.1699445550384804e-05,lgbm
t07_Price to Sales Ratio,3.161060630471031e-05,lgbm
t07_Dividend Indicated Yld - Gross,3.1545662313125266e-05,lgbm
t55_Dividend Indicated Yld - Gross,3.146310902069856e-05,lgbm
t05_ihsg_return_1d,3.0488889642846892e-05,lgbm
t48_Price Change 1 Day Percent,3.044365013340082e-05,lgbm
t35_ihsg_return_1d,3.0319975958212773e-05,lgbm
t05_Price Change 1 Day Percent,3.0260199047638406e-05,lgbm
t03_ihsg_return_1d,3.0213783827639117e-05,lgbm
t44_ihsg_return_1d,3.0099096628633068e-05,lgbm
t42_Price to Book Ratio,2.9569073143010004e-05,lgbm
t28_ihsg_return_1d,2.9316326257328162e-05,lgbm
t04_Dividend Indicated Yld - Gross,2.9012526490354002e-05,lgbm
t03_Price Change 1 Day Percent,2.8869442168188475e-05,lgbm
t20_Price to Book Ratio,2.8751147602925128e-05,lgbm
t05_Dividend Indicated Yld - Gross,2.8687735967210343e-05,lgbm
t21_Dividend Indicated Yld - Gross,2.812545600707669e-05,lgbm
t09_ihsg_close,2.7921344865238247e-05,lgbm
t02_ihsg_return_1d,2.783275966045891e-05,lgbm
t40_ihsg_return_1d,2.755874202619031e-05,lgbm
t11_High Price,2.743508744728632e-05,lgbm
t43_Price Change 1 Day Percent,2.7399706789667076e-05,lgbm
t34_High Price,2.7262143979426598e-05,lgbm
t09_High Price,2.6999929187179626e-05,lgbm
